#workers Loc-HC, Dist-HC   Loc-FG   Dist-FG
  2      1576.2   2183.3   1964.8   711.4
  4      2565.3    875.9    876.7   456.9
  6      2612.7    768.6   1037.2   388.1
  8      4512.0   1330.0    761.0   338.5
 10      4600.0   1428.0  

 

 	
 	
 	
 
 	
 
 
