#Nodes,#cores/node,#jobs,Runtime,Queuing Time,Coordination URL,LRMS URL,SubJob Submission Time
1,8,32,40.138365984,0,diane://s1,pbspro://localhost
2,8,64,43.1009540558,0,diane://s1,pbspro://localhost
4,8,128,41.1530470848,0,diane://s1,pbspro://localhost
8,8,256,49.5000538826,0,diane://s1,pbspro://localhost
16,8,512,90.5366179943,0,diane://s1,pbspro://localhost
8,8,64,49.7636499405,0,diane://s1,pbspro://localhost
8,8,128,49.9589149952,0,diane://s1,pbspro://localhost
8,8,256,50.5826210976,0,diane://s1,pbspro://localhost
8,8,512,50.9915540218,0,diane://s1,pbspro://localhost
8,8,1024,52.2675719261,0,diane://s1,pbspro://localhost
8,8,2048,59.4321949482,0,diane://s1,pbspro://localhost
1,8,32,39.1104578972,0,diane://s1,pbspro://localhost
2,8,64,40.1389269829,0,diane://s1,pbspro://localhost
4,8,128,42.1401541233,0,diane://s1,pbspro://localhost
8,8,256,50.0573620796,0,diane://s1,pbspro://localhost
16,8,512,91.6175830364,0,diane://s1,pbspro://localhost
8,8,64,50.5012490749,0,diane://s1,pbspro://localhost
8,8,128,50.6762361526,0,diane://s1,pbspro://localhost
8,8,256,51.1068589687,0,diane://s1,pbspro://localhost
8,8,512,51.2783100605,0,diane://s1,pbspro://localhost
8,8,1024,52.3427410126,0,diane://s1,pbspro://localhost
8,8,2048,59.3068060875,0,diane://s1,pbspro://localhost
1,8,32,39.3097031116,0,diane://s1,pbspro://localhost
2,8,64,41.2114508152,0,diane://s1,pbspro://localhost
4,8,128,41.2439770699,0,diane://s1,pbspro://localhost
8,8,256,51.6785888672,0,diane://s1,pbspro://localhost
16,8,512,107.88522315,0,diane://s1,pbspro://localhost
8,8,64,55.9861221313,0,diane://s1,pbspro://localhost
8,8,128,55.814822197,0,diane://s1,pbspro://localhost
8,8,256,60.3966031075,0,diane://s1,pbspro://localhost
8,8,512,64.5157618523,0,diane://s1,pbspro://localhost
8,8,1024,55.2305459976,0,diane://s1,pbspro://localhost
