#/Sync/16 reps
#	X	XLAbels		Y	Yerror
	1	1Machine	648	17
	2	2Machines	702	24
	3	4Machines	719	4.6


#/async-cent/16reps
#	X	XLAbels		Y	Yerror
	1	1Machine	560	16.9
	2	2Machines	591	3.4
	3	4Machines	606	4.6


#/async-decent/16reps
#	X	XLAbels		Y	Yerror
	1	1Machine	618.4	23
	2	2Machines	633	3
	3	4Machines	594	11
