250.0 0
750.0 0
1250.0 0
1750.0 0
2250.0 0
2750.0 0
3250.0 0
3750.0 0
4250.0 0
4750.0 0
5250.0 0
5750.0 0
6250.0 0
6750.0 0
7250.0 0
7750.0 0
8250.0 0
8750.0 3
9250.0 12
9750.0 27
10250.0 39
10750.0 45
11250.0 66
11750.0 135
12250.0 147
12750.0 192
13250.0 309
13750.0 465
14250.0 846
14750.0 891
15250.0 789
15750.0 744
16250.0 807
16750.0 1173
17250.0 1575
17750.0 1398
18250.0 1206
18750.0 774
19250.0 753
19750.0 633
20250.0 612
20750.0 543
21250.0 537
21750.0 441
22250.0 603
22750.0 513
23250.0 552
23750.0 576
24250.0 519
24750.0 504
25250.0 405
25750.0 348
26250.0 318
26750.0 276
27250.0 204
27750.0 216
28250.0 171
28750.0 108
29250.0 162
29750.0 99
30250.0 126
30750.0 93
31250.0 123
31750.0 192
32250.0 180
32750.0 120
33250.0 132
33750.0 96
34250.0 99
34750.0 99
35250.0 66
35750.0 51
36250.0 69
36750.0 75
37250.0 69
37750.0 54
38250.0 75
38750.0 42
39250.0 42
39750.0 48
40250.0 27
40750.0 30
41250.0 30
41750.0 39
42250.0 39
42750.0 18
43250.0 24
43750.0 24
44250.0 39
44750.0 51
45250.0 39
45750.0 48
46250.0 36
46750.0 72
47250.0 66
47750.0 84
48250.0 81
48750.0 63
49250.0 39
49750.0 51
